date_disclosed,project_name,document_type,project_number,project_url,product_line,company_name,country,ifc_country_code,industry,environmental_category,department,status,projected_board_date,ifc_approval_date,ifc_signed_date,ifc_invested_date,ifc_investment_for_risk_managementmillion__usd,ifc_investment_for_guaranteemillion__usd,ifc_investment_for_loanmillion__usd,ifc_investment_for_equitymillion__usd,total_ifc_investment_as_approved_by_boardmillion__usd,wb_country_code,as_of_date
2010-04-08,Husk Power,Summary of Proposed Investment (Disclosure Policy 2006),29024,https://disclosures.ifc.org/project-detail/SPI/29024/husk-power,Loan,HUSK POWER SYSTEMS PRIVATE LIMITED,India,IND,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2010-05-10,2010-06-08,2010-06-24,2010-11-30,,,0.250000,1.000000,1.250000,IN,2024-09-15
2010-04-30,TRP Expansion,Summary of Proposed Investment (Disclosure Policy 2006),29029,https://disclosures.ifc.org/project-detail/SPI/29029/trp-expansion,Loan,TERMINALES RIO DE LA PLATA S.A.,Argentina,ARG,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2010-06-01,2010-08-30,2010-09-09,2011-03-15,,,10.000000,,10.000000,AR,2024-09-15
2010-03-11,Globaltrans II,Summary of Proposed Investment (Disclosure Policy 2006),29035,https://disclosures.ifc.org/project-detail/SPI/29035/globaltrans-ii,Loan,"SEVTEKHNOTRANS, OOO",Russian Federation,RUS,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2010-04-12,2010-06-08,2010-06-17,2010-10-07,,,30.000000,,30.000000,RU,2024-09-15
2010-05-28,JPS Co. II,Summary of Proposed Investment (Disclosure Policy 2006),29088,https://disclosures.ifc.org/project-detail/SPI/29088/jps-co.-ii,Loan,"Jamaica Public Service Company, Limited",Jamaica,JAM,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2010-06-30,2010-10-21,2010-12-08,2010-12-22,,,30.000000,,30.000000,JM,2024-09-15
2009-12-08,WaterHealth Inc,Summary of Proposed Investment (Disclosure Policy 2006),29090,https://disclosures.ifc.org/project-detail/SPI/29090/waterhealth-inc,Equity,WaterHealth International,World Region,WLD,Infrastructure,B,Regional Industry - INF Asia & Pac,Active,2010-01-08,2010-04-15,2010-06-23,2010-07-23,,,,5.000000,5.000000,99,2024-09-15
2012-05-16,Aqualia Capital,Summary of Proposed Investment (Disclosure Policy 2006),29131,https://disclosures.ifc.org/project-detail/SPI/29131/aqualia-capital,,FCC AQUALIA SA.,World Region,WLD,Infrastructure,B,Gbl Infrastructure & Natural Resources,Completed,2012-07-12,,,,,,,,,99,2024-09-15
2010-01-25,Bhilwara Energy,Summary of Proposed Investment (Disclosure Policy 2006),29157,https://disclosures.ifc.org/project-detail/SPI/29157/bhilwara-energy,Equity,BHILWARA ENERGY LIMITED,India,IND,Infrastructure,A,Gbl Infrastructure &amp; Natural Resources,Completed,2010-03-31,2010-06-01,2010-06-04,2010-09-23,,,,23.900000,23.900000,IN,2024-09-15
2010-01-15,Russian Hotel Investments BV,Summary of Proposed Investment (Disclosure Policy 2006),29161,https://disclosures.ifc.org/project-detail/SPI/29161/russian-hotel-investments-bv,Loan,Russian Hotel Investments B.V.,Russian Federation,RUS,Infrastructure,B,Regional Industry MAS LAC & EUR,Completed,2010-02-26,2010-04-26,2010-04-27,,,,36.509998,3.640000,40.150002,RU,2024-09-15
2010-01-05,Colombia Infrastructure Fund Ashmore I FCP,Summary of Proposed Investment (Disclosure Policy 2006),29171,https://disclosures.ifc.org/project-detail/SPI/29171/colombia-infrastructure-fund-ashmore-i-fcp,Equity,FONDO DE INFRAESTRUCTURA COLOMBIA ASHMORE I - FCP,Colombia,CLM,Infrastructure,FI,Regional Industry INF LAC & EUR,Active,2010-02-11,2010-06-24,2010-07-07,2010-12-17,,,,20.000000,20.000000,CO,2024-09-15
2010-04-07,Trada Maritime,Summary of Proposed Investment (Disclosure Policy 2006),29186,https://disclosures.ifc.org/project-detail/SPI/29186/trada-maritime,Loan,"TRADA MARITIME, PT TBK",Indonesia,INS,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,2010-05-07,2010-06-10,2010-06-17,2010-09-27,,,35.000000,,35.000000,ID,2024-09-15
